Length,Sentence
18, Do you think so ? I don't like it very much . I found it rather uncomfortable . 
57," There is evidence ! You know Edwin Hubble ? He ’ s the guy who in the early twentieth century was the first scientist to measure the drift of matter in the universe , thus advancing notions of an expanding universe . What would it be expanding from ? Well , the Big Bang ... DUH ! "
26," Well , let's go and have something to drink instead . I know a good place . It's a little expensive , but it's fun . "
84," I partly agree with you . Buying stocks is not difficult , but making money consistently from buying stock is very difficult . Even professionals don ’ t find it easy , so be careful . Anyway , people like us need help with investing . Why not do some online research ? There are data , reports and discussion forums to educate people on how to invest . In addition , you need to visit an established website that offers stock charts . "
6,Can I borrow your suit ? 
22," Well , he's thin and tall . He has brown hair , a holt nose , green eyes and wearing glasses . "
7, It's in the South of China . 
17," In that case , I won ’ t keep you any longer . Drop in anytime . "
47," That ’ s both fortunate and unfortunate . It ’ s the United Nations in my class ! We have people from all over the world ! There are three Germans , a Pole , a Scottish , two French , an American , a Brazilian , "
13," Yeah , I can really go for some Chinese food right now . "
16, I ’ Ve already got your certificate for sick-leave . How do you feel today ? 
22, It is the symbol of laughing at hoar frost and fighting with snow . I admire the bravery of plum blossoms . 
24," It seems 10 degree below zero at least . I don't mind the cold weather , but do hate when it get slippery . "
44," I like music that has a fast beat and is lively , like dance music . You know , I go to a disco almost every week . Sometimes it's too loud though . You prefer classical music , don ’ t you ? "
20," That shouldn't be too difficult . Since this is a small neighborhood , maybe they will take this suggestion . "
36," In fact , they ’ re both very excited about the coming baby . Evelyn imagines what their baby would be look like , since one parent is American and the other one is Chinese . "
20," Yes , membership fees vary depending on the club but usually they run into tens of thousands of dollars . "
9, The singing group used to be very popular . 
19,I have tickets to The Phantom of the Opera on Friday night . Would you like to go ? 
10," Well , their team work is well worth learning . "
13," Of course , but we aren't going out , we're just friends . "
12, I was very sad when I was laid off last year . 
41," Well , she told me things just weren ’ t working out and we weren ’ t right together . But I thought things were just great . Why did she say this ? It's completely out of the blue . "
38," A lot . I probably got to moonlight for the rest of my life , but so what , it ’ s worth it . Come on , get in . Let ’ s take a drive . "
6, It's just around the corner . 
9," Yeah , I'm very worried about his health . "
53," Mormons believe that , after the death of Christ and the death of the Apostles 10 , their church Christ founded became corrupt and the authority of Christ on earth was lost to men . In 1830 , a prophet named Joseph Smith was brought up by God to restore the church . "
15,Sorry I was late for the meeting today . I got stuck in traffic . 
59," I ’ m sure they are . Oh , and a local man won the lottery . I ’ m so jealous ! I wish it were me ! I buy a lottery ticket every week and I ’ m amazed that I haven ’ t even won a small prize yet . It ’ s so unfair ! "
14, Let me see . How about 6:30 at the gate of the club ? 
30, I'll look up the rate.To look up doesn't mean to look high into the sky or to look at the roof.It means to search for and find some information . 
28," I don't think that Myra should have spoken so rudely to the teacher . I know she was angry , but that's still no excuse for rudeness . "
15," Go to the western side of the campus , and you'll find it there . "
29, Yes . It is one of the most harmful computer viruses in the world . People say it will break out again om Valentines ' Day this year . 
21, I don ’ t know what he wants to do . Does he want help me or just scold me ? 
16," His life is hanging by a thread , and he is under an emergency treatment . "
15," Yes , it ’ s exciting . This month we are doing crossword puzzles . "
21, Christy is working as a waitress at a restaurant in Paris . She ’ s married to a French photographer . 
15," Linda , thank you for this wonderful Christmas dinner . I really enjoyed it . "
5,Where's your better half ? 
38," Just an animal ? But it has life too . If you want a tattoo , get one . It's your choice because you want it . But has anyone asked the fish if it wanted one ? "
18," Oh , yes.Ellie was playing games all day yesterday.By the way , Alice , when's your birthday ? "
8,"Well , it was nice meeting you . "
30," And the most active older people seem to enjoy some kind of physical exercise . My father is over 60 years old , and he lifts weights every day . "
37," We've never sold this much before , our growth this year has been phenomenal . We have captured 8 % of the market , up from last year by 120 % . Our strategy is working ! "
27," You're embarrassed , aren't you ? You gotta loosen up in Little Italy . The lady at the cafe will kiss you when you meet her ... "
12, Did you join the Communist Party of China ( CPC ) ? 
14,Your brand new car is so excellent . I like it very much . 
19,Are you watching the soccer match tonight ? It must be the most exciting one in this season . 
21, Yep . It's the kickoff of the barbecue season . We're invited to a grill party in the park tomorrow . 
60, Me too . I ’ ll write to you once I get settled . But I have so much to do . You might have to wait a while . But I really will write to you . I love to write letters . I think it ’ s more meaning than the emails even than the phone call . 
22," Great , then let's go visit him . I want to give him some flowers , too , to say sorry . "
15," Oh yes , I loved it . Wasn't the scene with the judge great ? "
18," Oh , would you please turn off the fire ? My hands are sticky with the dough . "
14, I don't know . Maybe it ’ s some kind of personal problem . 
31," You've got to be joking ! It's the teacher's right to say anything wants , and if she saw Myra cheating , she certainly had the right to say so . "
45," Well , I don ’ t mean to boast but all the designs are done by myself and some colleagues are already trying to copy some of them for their new apartments . Look , they are making photos now of my designed kitchen . "
23, My opponent bowled me with the very first ball . I was wondering if it's appropriate for me to play table tennis . 
23," Oh , I like it . It's such a beautiful dance , but I can't do it well . What about you ? "
34," We have reduced emission of air pollutants in recent years , but cars are still a major source of them . Factories have become cleaner as stricter environment pollution law have been introduced . "
8, I fell down and hurt my arm . 
30," Do you think so ? Well , I guess . He does look a lot like me . Oh , he ’ s got Richard ’ s eyes though . "
12, I go to bed at ten and get up at six . 
27," When I was young , my parents took me to the one in California . I always forget which — is that one Disneyland or Disneyworld ? "
42," About 40 percent , if he speaks slowly.When he speaks fast , I can only catch a word here and there . But Mr . Wang is an excellent Chinese teacher.With his help , my Chinese is getting better and better e "
28," sure , but my teachers always encouraged me to do the best that I could and that helped me a lot . When are your final exams ? "
22, I'll tell you what . Your class can rent them from me for the night and buy back any damaged ones . 
12," I like the pier too , because it's beautiful at night . "
72," Everyone is looking at the issue in the short term , rather than the long term . It ’ s the same with the destruction of the rainforests . Countries and companies just want the wood . They ’ re not thinking about the long-term damage to the forests . We should also remember that the forests are an important natural habitat for thousands of species of animal and plant life . "
20," After I tried French food . Before that , I used to cook really boring things for my family . "
25," I understand . That ’ s why Christopher and I want to find a place in a small town , far from the city . "
18," It says the book is on the shelf , but I didn ’ t find it there . "
25, There is no charge for mileage . And fill up the gas when you return the car to us as it is not included . 
12,Would you be willing to accompany me to the party tonight ? 
26," Well , let's go and have something to drink instead . I know a good place . It's a little expensive , but it's fun . "
19," Yes , dumpling is a must.There is also other food.For example , people eat chicken for good luck . "
9,I'm really sick of waiting for a bus . 
26," just some water , please . Do you have any ointment for my nose ? It feels so itchy after blowing my nose so much . "
21," I'm just thinking about that , but the trouble is , I don't know who is well in the know . "
22, All these memories of prom night came back to me . I had to be alone . You remember that night ? 
17," Well , I mean.We always do the same thing.There ' s no variety in our lives . "
47," Sure . Well , the avocado sandwich is delicious , and it's the healthiest thing on the menu . Personally , I think the beef salad is the tastiest choice . I usually get that . Also , the milkshakes are the best milkshakes in town ! "
13," So , can I buy some new shoes as a Christmas present ? "
16, I ’ m rather disappointed at not being able to see my best friend off . 
12," He's outgoing and honest , but sometimes he's a bit conservative . "
14,Do you think I should buy this now and bring it with us ? 
29, No ... mom said that we'll have the wedding at home on the 2nd . So let's hope your mom is right about that being a lucky day ... 
22," I like a family composed of many people . It includes grandparents , parents , aunts and uncles , and children . "
7, We had a difference of opinion . 
4,Is sailing fun ? 
17, Yeah . They suit each other . A perfect match between a man and a girl . 
17,I was told my friend Joe was speaking ill of me . That's a real let-down . 
17," Well , thank you , Mr . Smith . But I was just doing my job . "
39," Well , the north of Norway is almost always cold , but further south it can be fairly warm in summer . It ’ s a wet country , so there ’ s snow almost everywhere in winter . "
17," Well , I am gaining weight these days , and I have to watch my calories . "
32," Yeah , I was really struggling whether I should give you this nice little car . It was the last one they had and I really like it so much myself . "
35,"Did you read the news that ' China's property prices rose at the fastest pace in 18 months in December , ending the year with rising fears of bubbles in the property market ' ? "
67," Show biz stars have plenty of expenses . That ’ s why they need so much money . They need million of dollars to buy big , seclude houses and wonderful dresses . I bet most show biz stars would prefer to wear jeans and a t-shirt , but they can ’ t because their managers force them to wear clothes they don ’ t like . "
14," Yeah , it ’ s been ages ! So how have you been ? "
57," Look , we have a lot of accumulated anger from working in these conditions , and it ’ s probably okay to let off steam once in a while . But , it ’ s probably not a good idea to keep it up I ’ m willing to forgive and forget and if you are . "
21," Yes , I can see . The summer heat is over , and the winter cold is still far away . "
24," Well , Qi is famous all over the world , isn ’ t he ? Besides I am quite interested in Chinese painting . "
26, It feels like ten degrees below zero at least . I don't mind the cold weather but I do hate it when it gets slippery . 
14, Me too . Please write to me as soon as you get Boston . 
16," Mine aren't fixed . Sometimes I do the day shift , sometimes the night shift . "
14," Well , I want to surprise my brother showing up for his birthday . "
14,"Could you tell me what university you went to , Mr . Smith ? "
11,"Hi , Jane . How are you doing this morning ? "
53," Fantastic ! I enjoy clubbing , especially those clubs with live bands . The only fly in the ointment is that the air is bad , full of smoke , and the music is too loud , so conversations are not really possible . Once I nearly got burnt by a cigarette . "
17," Yes , I do . It ’ s very interesting . What ’ s your job ? "
30," all right . Would you please stand closer to the flower bed ? Good . Smile . Say "" cheese "" . OK , got you . That's terrific . "
22," Oh , I didn't watch the football match . I wanted to but my wife preferred to see the old film . "
18," Try to pull it together , Vernassa . I am sure things will turn note , ok ? "
40," Uh ... Yeah ! I ’ Ve told you a thousand times that I ’ m learning to play the drums . Now that I know how to play well , I would like to form a rock band . "
19, 1 thirty P . m . But I've got to check in at 12 thirty P . m . 
48," I didn ’ t say that either . I was hoping we could discuss the matter together . I want your advice but I don ’ t want you to tell me what to do . I ’ Ve got to make decisions for myself , dad . "
20," So sorry , we're fully booked in that room . Would you like to make reservation some other time ? "
20," Save it , Vince . After I put my first million in the bank , I'll say you're welcome . "
15, Amazing . The sun is almost gone and yet there is still color everywhere ! 
13,What a nice day ! Why don't we go for an outing ? 
18, You can't be serious . How dare you not tell me you were going to marry her ? 
18," Where is that cool guy , Dick ? I haven ’ t seen him for two weeks . "
8, He's a little sick under the weather . 
9, I know . She won't change my grade . 
40," well , most of them only need a cap and gown for that particular convocation service , but some of the education majors have had them made , because they will be faculty members , and they'll need them f "
32," I go to movies ; I go to lectures ; I listen to the radio ; I do lots of things . Most importantly , I practice every chance I get . "
18," I'm going to the English class.It ' ll start in five minutes , I've got to run . "
35," Water is rationed . We can only use a certain amount each month . It means that we cannot use some modern household items , like washing machines . They use too much water . "
12, I see . I have run as fast as I can . 
48," That's ok , keep going , you ’ re moving ahead by leaps and bounds . Watch your dynamics ! Keep your elbows lifted . Remember to stroke the keys , don ’ t pound . That ’ s better ! Remember that as a pianist or any "
12, Yes . There's only a few seconds in a whole month . 
20, Do you want to borrow my coat ? I have a black coat that would look smashing on you . 
10, I heard through the grapevine that your getting married . 
17," Well , I thought he was , but he ends up to be a con man . "
37," yes , but this was the worst turbulence I'd ever experienced in my life ! Everyone started getting sick . The flight attendants had to stay in their seats . The captain decided to land early . "
21," Don't worry about it . It's not new , it already has a few scratches . Did you get hurt ? "
9," Oh , the day after tomorrow is Christmas . "
23," Nice to meet you , too . I thought I should come and say hello to you . I haven't known anybody . "
19,"You know what , last night I almost got hit by a vase falling from the third floor . "
39, You can put on your shades . And remember don't make your skin look like a tomato . Or else after that your skin will begin to flake off . You may even wind up with skin cancer . 
28, A lot of things . There is a part about how old people should accept being old and stop feeling restless . You really should read it . 
21, I still like the olive one best . There's a tailor here who can take up the sleeves for you . 
17, I can ’ t say I do . What I like a girl with good manners . 
26, We're waiting in line to get one of Master Li's Chinese couplets . I got one last year and I had good luck all year ! 
21," In my book , all a good movie needs is a chase scene and lots of things that blow up . "
15," We're busy on weekdays , but we'll have a good rest at the weekend . "
15, I know . I always hope for the best and prepare for the worst . 
6,What day is it today ? 
17," I was going to go here first , but my grades weren ’ t good enough . "
20," Of course not ! She thinks he's an apple-head . She doesn't like an apple-headed man , you know . "
28, There ’ s problem with my bank statement . There ’ s a mistake on it . I also need to withdraw some money some the ATM . 
46," Well , I hate the noise in the city , but I love being around lost of people . The problem is that you can ’ t have lots of people and have peace and quiet . The two just don ’ t go together . "
33, That's a great idea . Why don't you call him . I already talked to him a couple of times and it might be good for him to hear from somebody else . 
14, He is not young as he looks . I think he's almost sixty . 
22, That's very good . It's said that marriage is the Ab of love . But the words may not be right . 
13,We have waited for a long time . When will we start ? 
53," What ? ! Isn't there a law against that , I think there is some legislation that requires employers to give their employees a fair rate of wages . You should know your rights ! If you are putting in so many hours , they should give you some kind of compensation . "
17,"The tranquility of the night , the chirping of some insects , everything is so natural ! "
19," Let me check . Hold on , please ... Yes , that's fine . Smoking or nonsmoking area ? "
13," Yes , but to the health , this break has long enough . "
32," I turned down quite a few offers before for her sake . But I ’ m a senior now , I don ’ t want to miss the chance this time . "
14, Yes . I went to Tinge Sport Centre for football match last Sunday . 
7,Why are you all dressed up ? 
27,"I ’ m sick of my job , I always have to work late at night , and the company keeps me working in the office . "
30," And the most active older people seem to enjoy some kind of physical exercise . My father is over 60 years old , and he lifts weights every day . "
15,"Saying you want to kill yourself , you terrified me out of my wits . "
21," Well , the life style is much more relaxed than here in the city . And the seafood is tastier ! "
13," Hey , Daniel , what's your favorite weather ? Snowy or sunny ? "
5,My girlfriend dumped me . 
15," Yeah , he did . But he only won it by a hair's breadth . "
12," It's my geography , sir.The Map of Africa you set us . "
42," No , I'm not an English student . But I do like English . I'm going to be a volunteer in the 2008 Olympics where I want to be helpful with the language . So I try to improve my English . "
24, I think you can go to visit the museum . It's worth seeing . You can go to the square some other time . 
4,Let's go in . 
16, God save me ! Is there anything wrong with you ? Didn't I tell you ? 
7,I think he deserved his gold . 
17, It ’ s too old . And it isn ’ t as specious as I expected . 
28, Don ’ t be too humble . Few young men could be equal to Mark . And in some respects Joe and Mark are neck and neck . 
14," Sorry , I didn't hear you . Can you say that again please ? "
8," Fine , thanks . How about you ? "
53,"Hi , Monica , congratulations ! Your presentation at the meeting was very successful and everyone was impressed by your speech . And it was so persuasive and I bet our clients will be convinced to invest their money in this project . You really made a big contribution to our company . "
22, I wish I could.But I'm afraid I can't . I've got some serious studying to do . I have to go . 
21," Yeah . But in my heart of hearts , I find he ’ s not very much to my liking . "
16,"Hi , Jim . How are you ? I haven't seen you for a while . "
27," I like it a lot . It has a very funny beginning , I think . It attracts your attention the moment you begin reading it . "
13,"Quite a few times , I had my back to the wall . "
20," No , but I think it'd be really great for people like you who are always on the go . "
33," Oh , good . If you could come around six thirty or seven o'clock , that would give us some time to chat a whit over a glass of wine before dinner . "
22, There's no secret at all . The only thing for you to do is to practice more . You will succeed . 
14," Thank you , I will . Hope to see you again next year . "
22," He lives nearby and he would just glance at the newspaper headlines , read the political sections and return them later . "
13, Just type in the number on the back of your library card . 
27," Oh , yeah ? I wonder who is going to give Jane away at the wedding . You know her father passed away several years ago . "
13,Don ’ t do that again . You are riding the tiger . 
14, Don't build a fire under me . I know the importance of time . 
25," Oh , so it was my fault , was it ? If I hadn't warned you in time it would have been much worse . "
39," Well , I am under a lot of pressure . My boss is very pushy . He assigned me three projects . Now the deadlines are near , and I still have not finished all of my projects . "
17,"Lodge , You must come around sometime , You have to check out my mew stereo . "
10," Perfect , and I like her charming eyes too . "
53," Yes , there is . Teenagers do not want to live traditional lives . They want to go out , have fun , and explore the world . They want to develop their own view of life . Parents usually try to discourage them , but they don ’ t often succeed . "
